Date,Bajaj Open,Bajaj High,Bajaj Low,Bajaj Close,Bajaj Adj Close,Bajaj Volume
3/3/2023,6121.799805,6141,6073,6100.049805,6100.049805,712037
3/2/2023,6165.200195,6209.600098,6070.049805,6083,6083,582298
3/1/2023,6100.100098,6203.950195,6100.100098,6154.850098,6154.850098,544804
2/28/2023,6220,6246.600098,6090,6112.100098,6112.100098,977852
2/27/2023,6215,6241,6135,6194.5,6194.5,595004
2/24/2023,6253.75,6286,6200,6236.25,6236.25,607761
2/23/2023,6214,6262.450195,6122.649902,6202.350098,6202.350098,809768
2/22/2023,6331,6360,6185,6198.649902,6198.649902,934700
2/21/2023,6395,6408.25,6352,6379.25,6379.25,448509
2/20/2023,6425,6443.549805,6343,6367.399902,6367.399902,465732
2/17/2023,6410,6475.799805,6367.5,6416.700195,6416.700195,616044
2/16/2023,6505,6524.75,6420,6437.299805,6437.299805,529048
2/15/2023,6450,6496,6397.299805,6489.950195,6489.950195,618979
2/14/2023,6353.799805,6472.350098,6310,6458.700195,6458.700195,1034090
2/13/2023,6434.950195,6473.149902,6297.049805,6345.5,6345.5,736557
2/10/2023,6453.950195,6527.600098,6420,6435.5,6435.5,1291282
2/9/2023,6374.899902,6487.799805,6335.25,6455,6455,1838154
2/8/2023,6165,6377,6162.799805,6351.649902,6351.649902,1903208
2/7/2023,6122.950195,6182,6100,6160.549805,6160.549805,1472193
2/6/2023,6000,6124,5955.600098,6104.200195,6104.200195,1073820
2/3/2023,5770,6030,5747.049805,6014.25,6014.25,1486892
2/2/2023,5819,5819,5645,5717.649902,5717.649902,2025044
2/1/2023,5944,5980.399902,5708.899902,5817.200195,5817.200195,2634866
1/31/2023,6050,6050,5874,5886.399902,5886.399902,1996788
1/30/2023,5770.049805,6066.200195,5770.049805,6021.799805,6021.799805,2448160
1/27/2023,5815,5861.549805,5680,5760.700195,5760.700195,1621352
1/25/2023,5850.049805,5855.049805,5777,5795.899902,5795.899902,827837
1/24/2023,5892.350098,5921,5842.649902,5855.049805,5855.049805,608145
1/23/2023,5881,5935,5841,5863,5863,856064
1/20/2023,6012.5,6019.75,5837.200195,5860.399902,5860.399902,833090
1/19/2023,5983,6029.649902,5960.649902,6012.450195,6012.450195,548142
1/18/2023,6003.950195,6049,5985,5998.649902,5998.649902,796281
1/17/2023,6019.950195,6019.950195,5940,5984.950195,5984.950195,817005
1/16/2023,6000,6072.200195,5974.549805,6010.899902,6010.899902,908339
1/13/2023,5920,5985,5872,5977.799805,5977.799805,1108490
1/12/2023,5906.549805,5964.899902,5857,5898.399902,5898.399902,1476949
1/11/2023,5930,5949,5865.549805,5895.75,5895.75,1108891
1/10/2023,5999,6015,5875,5904.149902,5904.149902,1120375
1/9/2023,6020,6078,5955,5993.350098,5993.350098,1400548
1/6/2023,6130,6139.950195,5941.600098,5980.399902,5980.399902,2931922
1/5/2023,6490,6490,6025.049805,6100.049805,6100.049805,5102300
1/4/2023,6595,6638,6550,6571,6571,671253
1/3/2023,6565,6660,6530,6606.25,6606.25,742081
1/2/2023,6565,6610,6484.75,6553.75,6553.75,579340
12/30/2022,6550,6719.899902,6515,6575.200195,6575.200195,1520266
12/29/2022,6440,6520.5,6402.399902,6510.899902,6510.899902,521880
12/28/2022,6475,6570,6464.049805,6476.100098,6476.100098,755934
12/27/2022,6466,6530,6430,6504.700195,6504.700195,781035
12/26/2022,6374.649902,6469.899902,6300,6433.700195,6433.700195,530535
12/23/2022,6450,6466,6340.049805,6374.600098,6374.600098,994303
